name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
The Cave Restaurant & Lounge,"359-361 Olton Blvd E, Birmingham",07862 665198,https://caverestaraunt.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,meal_takeaway,Monday: 5:00 PM – 12:00 AM,Tuesday: 5:00 PM – 12:00 AM,Wednesday: 5:00 PM – 12:00 AM,Thursday: 5:00 PM – 12:00 AM,Friday: 5:00 PM – 12:00 AM,Saturday: 5:00 PM – 12:00 AM,Sunday: 5:00 PM – 12:00 AM
Bistro @b31,"100 Chatham Rd, Birmingham",07909 861213,https://www.bistrob31.co.uk/,restaurant,Monday: 9:30 AM – 2:30 PM,Tuesday: 9:30 AM – 2:30 PM,Wednesday: 9:30 AM – 2:30 PM,Thursday: 9:30 AM – 2:30 PM,Friday: 9:30 AM – 2:30 PM,Saturday: Closed,Sunday: 9:00 AM – 3:00 PM
The Restaurant Hub,"Sainsbury's 19 Selly Oak Shopping Park, Aston Webb Blvd, Birmingham",0121 516 3906,http://therestauranthub.co.uk/,restaurant,Monday: 8:00 AM – 10:00 PM,Tuesday: 8:00 AM – 10:00 PM,Wednesday: 8:00 AM – 10:00 PM,Thursday: 8:00 AM – 10:00 PM,Friday: 8:00 AM – 10:00 PM,Saturday: 8:00 AM – 10:00 PM,Sunday: 11:00 AM – 5:00 PM
Ed's Easy diner,"Sainsbury's 19, Shopping Park, Aston Webb Blvd, Selly Oak, Birmingham",0121 516 3906,https://restaurant.edseasydiner.com/selly-oak,restaurant,Monday: 8:00 AM – 8:00 PM,Tuesday: 8:00 AM – 8:00 PM,Wednesday: 8:00 AM – 8:00 PM,Thursday: 8:00 AM – 8:00 PM,Friday: 8:00 AM – 8:00 PM,Saturday: 8:00 AM – 8:00 PM,Sunday: 11:00 AM – 4:30 PM
THE SOAK BAR AND GRILL,"563-569 Bristol Rd, Selly Oak, Birmingham",0121 725 7252,http://soakbar.co.uk/,bar,Monday: 12:00 – 11:30 PM,Tuesday: 12:00 – 11:30 PM,Wednesday: 12:00 – 11:30 PM,Thursday: 12:00 – 11:30 PM,Friday: 12:00 – 11:30 PM,Saturday: 12:00 – 11:30 PM,Sunday: 12:00 – 11:30 PM
Sapore,"2250 Coventry Rd, Sheldon, Birmingham",0121 743 8100,https://www.saporerestaurant.co.uk/,bar,Monday: 12:00 – 10:00 PM,Tuesday: 12:00 – 10:00 PM,Wednesday: 12:00 – 10:00 PM,Thursday: 12:00 – 10:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: 12:00 – 9:00 PM
The Buffet Shop,"201 Church Rd, Yardley, Birmingham",0121 783 3084,http://www.thebuffetshop.com/,meal_takeaway,Monday: 8:00 AM – 2:00 PM,Tuesday: 8:00 AM – 2:00 PM,Wednesday: 8:00 AM – 2:00 PM,Thursday: 8:00 AM – 2:00 PM,Friday: 8:00 AM – 2:00 PM,Saturday: 9:30 AM – 1:30 PM,Sunday: Closed
Wok bruvvas,"1170 Coventry Rd, Hay Mills, Birmingham",0121 771 2327,https://wokbruvvas.co.uk/,meal_takeaway,Monday: 5:00 – 10:30 PM,Tuesday: 5:00 – 11:00 PM,Wednesday: Closed,Thursday: 5:00 – 11:00 PM,Friday: 5:00 – 11:00 PM,Saturday: 5:00 – 11:00 PM,Sunday: 5:00 – 11:00 PM
McDonald’s,"27 Collingtree Ct, Olton, Solihull",Not Available,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Chefs Grill,"441 Brays Rd, Birmingham",0121 448 4461,Not Available,restaurant,Monday: 4:00 – 11:00 PM,Tuesday: 4:00 – 11:00 PM,Wednesday: 4:00 – 11:00 PM,Thursday: 4:00 – 11:00 PM,Friday: 4:00 – 11:00 PM,Saturday: 4:00 – 11:00 PM,Sunday: 4:00 – 11:00 PM
Harvester Arden Oak Birmingham,"Arden Oak Rd, Birmingham",0121 743 3438,https://www.harvester.co.uk/restaurants/eastandwestmidlands/theardenoaksheldon?utm_source=google&utm_medium=organic&utm_campaign=gmb,meal_takeaway,Monday: 9:00 AM – 11:00 PM,Tuesday: 9:00 AM – 11:00 PM,Wednesday: 9:00 AM – 11:00 PM,Thursday: 9:00 AM – 11:00 PM,Friday: 9:00 AM – 11:00 PM,Saturday: 9:00 AM – 11:00 PM,Sunday: 9:00 AM – 11:00 PM
The Rastaurant,"Norrington Rd, Birmingham",07539 310936,http://www.wmrastaurant.com/,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: Closed,Friday: 2:30 – 9:30 PM,Saturday: 2:30 – 9:30 PM,Sunday: 2:30 – 9:30 PM
Côte Solihull,"142 High St, Solihull",0121 828 4848,https://cote.co.uk/restaurant/solihull/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business?utm_source=extnet&utm_medium=yext,restaurant,Monday: 9:00 AM – 10:00 PM,Tuesday: 9:00 AM – 10:00 PM,Wednesday: 9:00 AM – 10:00 PM,Thursday: 9:00 AM – 10:00 PM,Friday: 9:00 AM – 10:00 PM,Saturday: 9:00 AM – 10:00 PM,Sunday: 9:00 AM – 9:30 PM
Esabella's Restaurant Solihull,"680 Warwick Rd, Solihull",0121 709 4494,http://www.esabellas.co.uk/,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: 12:00 – 11:00 PM,Thursday: 12:00 – 11:00 PM,Friday: 12:00 PM – 2:00 AM,Saturday: 12:00 PM – 2:00 AM,Sunday: 12:00 – 10:30 PM
Zizzi - Solihull,"10 Poplar Rd, Solihull",0121 704 5030,https://www.zizzi.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=panel,restaurant,Monday: 11:30 AM – 10:00 PM,Tuesday: 11:30 AM – 10:00 PM,Wednesday: 11:30 AM – 10:00 PM,Thursday: 11:30 AM – 10:00 PM,Friday: 11:30 AM – 11:00 PM,Saturday: 11:30 AM – 11:00 PM,Sunday: 11:30 AM – 10:00 PM
Seasons Restaurant,Solihull,Not Available,Not Available,restaurant,Monday: 8:00 AM – 2:15 PM,Tuesday: 8:00 AM – 2:15 PM,Wednesday: 8:00 AM – 2:15 PM,Thursday: 8:00 AM – 2:15 PM,Friday: 8:00 AM – 2:15 PM,Saturday: Closed,Sunday: Closed
Zengz,"763 Old Lode Ln, Solihull",0121 722 2099,http://zengz.co.uk/,meal_takeaway,Monday: 5:30 – 11:30 PM,Tuesday: 5:30 – 11:30 PM,Wednesday: 5:30 – 11:30 PM,Thursday: 5:30 – 11:30 PM,Friday: 5:30 – 11:30 PM,Saturday: 5:30 – 11:30 PM,Sunday: 5:30 – 11:30 PM
Carluccio's,"159-161 High St, Solihull",0121 803 5978,https://www.carluccios.com/restaurants/solihull,cafe,Monday: 8:00 AM – 9:00 PM,Tuesday: 8:00 AM – 9:00 PM,Wednesday: 8:00 AM – 9:00 PM,Thursday: 8:00 AM – 9:00 PM,Friday: 8:00 AM – 10:00 PM,Saturday: 8:00 AM – 10:00 PM,Sunday: 9:00 AM – 9:00 PM
Toffs restaurant,"Mell Square, Solihull",Not Available,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Solihull Balti,"763 Old Lode Ln, Solihull, West Midlands",0121 742 5777,Not Available,meal_takeaway,Monday: 5:00 – 11:30 PM,Tuesday: 5:00 – 11:30 PM,Wednesday: 5:00 – 11:30 PM,Thursday: 5:00 – 11:30 PM,Friday: 5:00 – 11:30 PM,Saturday: 5:00 – 11:30 PM,Sunday: 5:00 – 11:30 PM
The Indian BBQ,"Mell Square, Solihull",07956 801664,https://tastecollectivesolihull.co.uk/pages/click-collect,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: 12:00 – 9:00 PM,Thursday: 12:00 – 9:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: 12:00 – 8:00 PM
Côte Birmingham,"The Mailbox, 120-122 Wharfside St, Birmingham",0121 631 1587,https://www.cote.co.uk/restaurant/birmingham/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business?utm_source=extnet&utm_medium=yext,restaurant,Monday: 11:30 AM – 10:00 PM,Tuesday: 11:30 AM – 10:00 PM,Wednesday: 11:30 AM – 10:00 PM,Thursday: 11:30 AM – 10:00 PM,Friday: 10:00 AM – 10:00 PM,Saturday: 10:00 AM – 10:00 PM,Sunday: 10:00 AM – 9:30 PM
At The Woods,"Restaurant At The Woods Unit 109 / 111, Mailbox, Wharfside St, Birmingham",0121 293 5083,http://www.atthewoods.co.uk/,restaurant,Monday: 10:00 AM – 9:00 PM,Tuesday: 10:00 AM – 9:00 PM,Wednesday: 10:00 AM – 9:00 PM,Thursday: 10:00 AM – 9:00 PM,Friday: 10:00 AM – 10:00 PM,Saturday: 10:00 AM – 10:00 PM,Sunday: 10:00 AM – 9:00 PM
Chez Mal Brasserie & Bar,"Malmaison Hotel, 1 Wharfside St, Birmingham",0121 794 3004,https://www.malmaison.com/locations/birmingham/chez-mal-brasserie/?utm_source=google&utm_medium=organic&utm_campaign=chezmal-birmingham-gmb,restaurant,"Monday: 7:00 – 10:00 AM, 12:00 – 2:00 PM, 6:00 – 9:30 PM","Tuesday: 7:00 – 10:00 AM, 12:00 – 2:00 PM, 6:00 – 9:30 PM","Wednesday: 7:00 – 10:00 AM, 12:00 – 2:00 PM, 6:00 – 9:30 PM","Thursday: 7:00 – 10:00 AM, 12:00 – 2:00 PM, 6:00 – 9:30 PM","Friday: 7:00 – 10:00 AM, 12:00 – 3:00 PM, 6:00 – 10:30 PM","Saturday: 7:30 – 11:00 AM, 12:30 – 4:00 PM, 5:00 – 10:30 PM","Sunday: 8:00 – 11:00 AM, 1:00 – 4:00 PM, 6:00 – 9:30 PM"
The Restaurant,"Mindelsohn Way, Birmingham",Not Available,Not Available,restaurant,"Monday: 7:30 AM – 2:30 PM, 3:00 – 4:45 PM","Tuesday: 7:30 AM – 2:30 PM, 3:00 – 4:45 PM","Wednesday: 7:30 AM – 2:30 PM, 3:00 – 4:45 PM","Thursday: 7:30 AM – 2:30 PM, 3:00 – 4:45 PM","Friday: 7:30 AM – 2:30 PM, 3:00 – 4:45 PM",Saturday: 7:30 AM – 2:00 PM,Sunday: 7:30 AM – 2:00 PM
EN Steak & Cocktail Bar Birmingham,"The Mailbox, 124-126 Wharfside St, Birmingham",0121 633 3000,http://www.ensteak.co.uk/,restaurant,Monday: 12:00 – 10:30 PM,Tuesday: 12:00 – 10:30 PM,Wednesday: 12:00 – 10:30 PM,Thursday: 12:00 – 10:30 PM,Friday: 12:00 PM – 1:30 AM,Saturday: 12:00 PM – 1:30 AM,Sunday: 12:00 – 9:00 PM
Paul at No 41,"41 High St, Harborne, Birmingham",0121 426 4446,https://m.facebook.com/paulatno41/,restaurant,Monday: Closed,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: 8:00 AM – 5:00 PM,Sunday: 10:00 AM – 3:00 PM
Varanasi,"184 Broad St, Birmingham",0121 633 3700,http://varanasi.uk/,restaurant,Monday: 6:00 – 10:30 PM,Tuesday: 6:00 – 10:30 PM,Wednesday: 6:00 – 10:30 PM,Thursday: 6:00 – 10:30 PM,Friday: 5:00 – 10:30 PM,Saturday: 5:00 – 10:30 PM,Sunday: 5:00 – 10:30 PM
Cielo,"SQUARE, 6 Oozells St., Brindley Pl, Birmingham",0121 667 3122,Not Available,restaurant,Monday: 5:00 – 10:00 PM,Tuesday: 5:00 – 10:00 PM,Wednesday: 5:00 – 10:00 PM,Thursday: 5:00 – 10:00 PM,Friday: 12:00 – 11:00 PM,Saturday: 12:00 – 11:00 PM,Sunday: 12:00 – 9:00 PM
The Grill,"245 Broad St, Birmingham",Not Available,Not Available,restaurant,Monday: 12:00 – 10:00 PM,Tuesday: 12:00 – 10:00 PM,Wednesday: 12:00 – 10:00 PM,Thursday: 12:00 – 10:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: 12:00 – 10:00 PM
Zizzi - Birmingham Brindley Place,"3, Eleven Brindley Place, Birmingham",0121 792 3507,https://www.zizzi.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=panel,restaurant,Monday: 11:30 AM – 10:00 PM,Tuesday: 11:30 AM – 10:00 PM,Wednesday: 11:30 AM – 10:00 PM,Thursday: 11:30 AM – 10:00 PM,Friday: 11:30 AM – 11:00 PM,Saturday: 11:30 AM – 11:00 PM,Sunday: 11:30 AM – 10:00 PM
Mezze Restaurant,"341 Ladypool Rd., Balsall Heath, Birmingham",0121 820 8437,Not Available,restaurant,Monday: 12:00 – 11:00 PM,Tuesday: 12:00 – 11:00 PM,Wednesday: 12:00 – 11:00 PM,Thursday: 12:00 – 11:00 PM,Friday: 2:00 – 11:00 PM,Saturday: 12:00 – 11:00 PM,Sunday: 12:00 – 11:00 PM
ME YOU RESTAURANT,"The Balti Triangle, 186 Ladypool Rd., Balsall Heath, Birmingham",07535 552536,https://meyourestaurant.co.uk/,cafe,Monday: 6:30 PM – 4:00 AM,Tuesday: 6:30 PM – 4:00 AM,Wednesday: 6:30 PM – 4:00 AM,Thursday: 6:30 PM – 4:00 AM,Friday: 6:30 PM – 4:00 AM,Saturday: 3:00 PM – 4:00 AM,Sunday: 3:00 PM – 4:00 AM
De La Vies,"2a Barnsley Rd, Bearwood, Smethwick, Birmingham",0121 824 5000,http://www.delavies.com/,restaurant,Monday: 4:00 – 11:00 PM,Tuesday: 4:00 – 11:00 PM,Wednesday: 4:00 – 11:00 PM,Thursday: 4:00 – 11:00 PM,Friday: 4:00 PM – 12:00 AM,Saturday: 4:00 PM – 12:00 AM,Sunday: 4:00 – 11:00 PM
Onyé Restaurant,"31 Cape Hill, Smethwick",0121 413 5150,https://onyerestaurant.co.uk/,restaurant,Monday: 2:00 – 11:00 PM,Tuesday: 2:00 – 11:00 PM,Wednesday: 2:00 – 11:00 PM,Thursday: 2:00 – 11:00 PM,Friday: 2:00 – 11:00 PM,Saturday: 12:00 PM – 1:00 AM,Sunday: 12:00 – 11:00 PM
Old Dresser Cafe,"434 Bearwood Rd, Bearwood, Smethwick",0121 420 1779,http://www.olddressercafe.co.uk/,restaurant,Monday: Closed,Tuesday: 12:00 – 9:00 PM,Wednesday: 12:00 – 9:00 PM,Thursday: 12:00 – 9:00 PM,Friday: 12:00 – 9:00 PM,Saturday: 10:00 AM – 9:00 PM,Sunday: 10:00 AM – 4:00 PM
Sandhu Di Haveli,"160 Rolfe St, Smethwick",07440 602070,Not Available,restaurant,Monday: 11:00 AM – 10:00 PM,Tuesday: 11:00 AM – 10:00 PM,Wednesday: 11:00 AM – 10:00 PM,Thursday: 11:00 AM – 10:00 PM,Friday: 11:00 AM – 10:00 PM,Saturday: 11:00 AM – 10:00 PM,Sunday: 11:00 AM – 10:00 PM
Slemani Grill,"482 Bearwood Rd, Bearwood, Smethwick",07834 764271,Not Available,restaurant,Monday: 12:00 – 10:00 PM,Tuesday: 12:00 – 10:00 PM,Wednesday: 12:00 – 10:00 PM,Thursday: 12:00 – 10:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: 12:00 – 10:00 PM
520 COFFEE SHOP,"467 Bearwood Rd, Bearwood, Smethwick",Not Available,https://520-coffee-shop.business.site/?utm_source=gmb&utm_medium=referral,cafe,Monday: 1:00 – 8:00 PM,Tuesday: 10:00 AM – 8:00 PM,Wednesday: 10:00 AM – 8:00 PM,Thursday: 10:00 AM – 8:00 PM,Friday: 10:00 AM – 8:00 PM,Saturday: 10:00 AM – 8:00 PM,Sunday: 11:00 AM – 5:00 PM
Restaurant at Birmingham College of Food,"University College Birmingham, Summer Row, Birmingham",0121 604 1010,https://restaurant.ucb.ac.uk/,restaurant,"Monday: 12:00 – 1:00 PM, 6:00 – 7:15 PM","Tuesday: 12:00 – 1:00 PM, 6:00 – 7:15 PM","Wednesday: 12:00 – 1:00 PM, 6:00 – 7:15 PM","Thursday: 12:00 – 1:00 PM, 6:00 – 7:15 PM","Friday: 12:00 – 1:00 PM, 6:00 – 7:15 PM",Saturday: Closed,Sunday: Closed
Orelle,"103 Colmore Row, Birmingham",0121 716 8186,https://orelle.co.uk/,restaurant,Monday: 12:00 PM – 12:00 AM,Tuesday: 12:00 PM – 12:00 AM,Wednesday: 12:00 PM – 12:00 AM,Thursday: 12:00 PM – 12:00 AM,Friday: 12:00 PM – 1:00 AM,Saturday: 12:00 PM – 1:00 AM,Sunday: 1:00 – 7:00 PM
Taj Mahal Restaurant,"1, Norfolk House, Theatre Approach, Birmingham",0121 643 8200,https://tajmahalbirmingham.co.uk/,meal_takeaway,Monday: 4:30 – 11:00 PM,Tuesday: 4:30 – 11:00 PM,Wednesday: 4:30 – 11:00 PM,Thursday: 4:30 – 11:00 PM,Friday: 4:30 – 11:00 PM,Saturday: 4:30 – 11:00 PM,Sunday: 4:30 – 11:00 PM
Sham Restaurant,"156 Vaughton St, Birmingham",0121 622 4782,Not Available,restaurant,Monday: 12:00 PM – 12:00 AM,Tuesday: 12:00 PM – 12:00 AM,Wednesday: 12:00 PM – 12:00 AM,Thursday: 12:00 PM – 12:00 AM,Friday: 12:00 PM – 12:00 AM,Saturday: 12:00 PM – 12:00 AM,Sunday: 12:00 PM – 12:00 AM
Opheem,"65 Summer Row, Birmingham",0121 201 3377,http://opheem.com/,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: 5:30 – 9:30 PM,Thursday: 5:30 – 9:30 PM,"Friday: 12:00 – 1:30 PM, 5:30 – 9:30 PM","Saturday: 12:00 – 1:30 PM, 5:30 – 9:30 PM",Sunday: Closed
The Grill Restaurant,"Albert St, Birmingham",0121 726 3200,https://www.claytonhotelbirmingham.com/dining-options/grill-restaurant/?utm_source=google&utm_medium=organic&utm_campaign=gmb-restaurant,restaurant,Monday: 5:00 – 9:30 PM,Tuesday: 5:00 – 9:30 PM,Wednesday: 5:00 – 9:30 PM,Thursday: 5:00 – 9:30 PM,Friday: 5:00 – 9:30 PM,Saturday: 5:00 – 9:30 PM,Sunday: 5:00 – 9:30 PM
"Riva Blu Italian Restaurant & Bar, Birmingham","61-63 Temple Row, Birmingham",0121 633 3636,https://rivablu.co.uk/birmingham/,bar,Monday: 12:00 – 10:00 PM,Tuesday: 12:00 – 10:00 PM,Wednesday: 12:00 – 10:00 PM,Thursday: 12:00 – 11:00 PM,Friday: 12:00 – 11:00 PM,Saturday: 12:00 – 11:00 PM,Sunday: 12:00 – 10:00 PM
Jaziira Restaurant,"10 Parliament St, Birmingham",0121 270 6572,http://jaziira-restaurant.business.site/,restaurant,Monday: 8:00 AM – 9:00 PM,Tuesday: 8:00 AM – 9:00 PM,Wednesday: 8:00 AM – 9:00 PM,Thursday: 8:00 AM – 9:00 PM,Friday: 8:00 AM – 9:00 PM,Saturday: 8:00 AM – 9:00 PM,Sunday: 8:00 AM – 9:00 PM
Santorini Greek Restaurant,"16 Hurst St, Birmingham",0121 643 5205,https://www.santorinigreekrestaurant.co.uk/,restaurant,Monday: 11:00 AM – 2:00 AM,Tuesday: 11:00 AM – 2:00 AM,Wednesday: 11:00 AM – 2:00 AM,Thursday: 11:00 AM – 2:00 AM,Friday: 11:00 AM – 4:00 AM,Saturday: 11:00 AM – 4:00 AM,Sunday: 11:00 AM – 2:00 AM
Miss Korea,"155 Bromsgrove St, Birmingham",07837 427120,Not Available,restaurant,Monday: 12:00 – 10:00 PM,Tuesday: 12:00 – 10:00 PM,Wednesday: 12:00 – 10:00 PM,Thursday: 12:00 – 10:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: 12:00 – 10:00 PM
Khayyam Restaurant (Birmingham),"135 Tennant St, Birmingham",0121 643 0677,http://www.khayyam-restaurant.com/birmingham/,meal_delivery,Monday: 4:30 PM – 12:00 AM,Tuesday: 4:30 PM – 12:00 AM,Wednesday: 4:30 PM – 12:00 AM,Thursday: 4:30 PM – 12:00 AM,Friday: 1:00 PM – 1:00 AM,Saturday: 1:00 PM – 1:00 AM,Sunday: 1:00 PM – 1:00 AM
Zurbyan Restaurant,"392 Coventry Rd, Small Heath, Birmingham",Not Available,Not Available,restaurant,Monday: 11:00 AM – 11:30 PM,Tuesday: 11:00 AM – 11:30 PM,Wednesday: 11:00 AM – 11:30 PM,Thursday: 11:00 AM – 11:30 PM,Friday: 11:00 AM – 11:30 PM,Saturday: 11:00 AM – 11:30 PM,Sunday: 11:00 AM – 11:30 PM
Land Restaurant,"30 Great Western Arcade, Birmingham",0121 236 2313,http://land.restaurant/,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: 6:00 – 7:00 PM,"Thursday: 12:00 – 1:00 PM, 6:00 – 7:00 PM","Friday: 12:00 – 1:00 PM, 5:00 – 6:00 PM, 8:00 – 9:00 PM","Saturday: 12:00 – 1:00 PM, 5:00 – 6:00 PM, 8:00 – 9:00 PM",Sunday: Closed
