name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Maram Pizza,"81 Wentworth Way, Birmingham",020 8133 2249,Not Available,meal_takeaway,Monday: 3:00 PM – 12:00 AM,Tuesday: 3:00 PM – 12:00 AM,Wednesday: 3:00 PM – 12:00 AM,Thursday: 3:00 PM – 12:00 AM,Friday: 3:00 PM – 12:00 AM,Saturday: 3:00 PM – 12:00 AM,Sunday: 3:00 PM – 12:00 AM
The Balti Castle,"163 Weoley Castle Rd, Birmingham",0121 426 5656,http://thebalticastle.co.uk/storemenu,restaurant,Monday: 4:30 – 11:30 PM,Tuesday: 4:30 – 11:30 PM,Wednesday: 4:30 – 11:30 PM,Thursday: 4:30 – 11:30 PM,Friday: 4:30 PM – 12:00 AM,Saturday: 4:30 PM – 12:00 AM,Sunday: 4:30 – 11:30 PM
Pizza Hut Delivery,"699 - 701 Bristol Rd S, Birmingham",0121 477 2323,https://www.pizzahut.co.uk/?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTEyMTI3ODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,meal_delivery,Monday: 12:00 – 9:55 PM,Tuesday: 12:00 – 9:55 PM,Wednesday: 12:00 – 9:55 PM,Thursday: 12:00 – 9:55 PM,Friday: 12:00 – 11:55 PM,Saturday: 12:00 – 11:55 PM,Sunday: 12:00 – 9:55 PM
KFC Northfield Bristol Road South,"836 Bristol Rd S, Birmingham",0121 475 1262,https://www.kfc.co.uk/kfc-near-me/northfield-bristol-road-south,meal_takeaway,Monday: 11:00 AM – 11:00 PM,Tuesday: 11:00 AM – 11:00 PM,Wednesday: 11:00 AM – 11:00 PM,Thursday: 11:00 AM – 11:00 PM,Friday: 11:00 AM – 11:00 PM,Saturday: 11:00 AM – 11:00 PM,Sunday: 11:00 AM – 11:00 PM
Kippa’s Fish Bar,"32 Dettonford Rd, Birmingham",0121 477 0505,https://taksfishbar.com/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,restaurant,Monday: 12:00 – 9:00 PM,Tuesday: 12:00 – 9:00 PM,Wednesday: 12:00 – 9:00 PM,Thursday: 12:00 – 9:00 PM,Friday: 12:00 – 9:00 PM,Saturday: 12:00 – 9:00 PM,Sunday: Closed
Weoley Castle Fish Bar,"177 Weoley Castle Rd, Weoley Castle, Birmingham",0121 428 1555,Not Available,meal_takeaway,"Monday: 12:00 – 2:00 PM, 5:00 – 9:00 PM","Tuesday: 12:00 – 2:00 PM, 5:00 – 9:00 PM","Wednesday: 12:00 – 2:00 PM, 5:00 – 9:00 PM","Thursday: 12:00 – 2:00 PM, 5:00 – 9:00 PM","Friday: 12:00 – 2:00 PM, 5:00 – 9:00 PM","Saturday: 12:00 – 2:00 PM, 5:00 – 9:00 PM",Sunday: Closed
Valley Spice,"12 Illeybrook Square, Birmingham",0121 426 1185,https://www.valleyspiceonline.co.uk/,meal_takeaway,Monday: 5:00 – 11:00 PM,Tuesday: Closed,Wednesday: 5:00 – 11:00 PM,Thursday: 5:00 – 11:00 PM,Friday: 5:00 – 11:00 PM,Saturday: 5:00 – 11:00 PM,Sunday: 5:00 – 11:00 PM
Hillwood Chip Shop,"48 Hillwood Rd, Birmingham",0121 476 8530,https://usamap.top/hillwood-chip-shop-2,meal_takeaway,Monday: 11:00 AM – 9:00 PM,Tuesday: 11:00 AM – 9:00 PM,Wednesday: 11:00 AM – 9:00 PM,Thursday: 11:00 AM – 9:00 PM,Friday: 11:00 AM – 9:00 PM,Saturday: 11:00 AM – 9:00 PM,Sunday: Closed
New Ruby,"241 Merritt's Brook Ln, Birmingham",0121 478 1836,https://newruby.co.uk/jjTT,meal_takeaway,Monday: 5:00 – 10:00 PM,Tuesday: Closed,Wednesday: 5:00 – 10:00 PM,Thursday: 5:00 – 10:00 PM,Friday: 5:00 – 11:00 PM,Saturday: 5:00 – 11:00 PM,Sunday: 5:00 – 10:30 PM
Pin,"161 Weoley Castle Rd, Birmingham",0121 426 2626,https://pintakeaway.co.uk/order-now,meal_takeaway,Monday: 4:30 – 11:00 PM,Tuesday: Closed,Wednesday: 4:30 – 11:00 PM,Thursday: 4:30 – 11:00 PM,Friday: 4:30 – 11:00 PM,Saturday: 4:30 – 11:00 PM,Sunday: 4:30 – 10:00 PM
Turel Fish Bar,"33 Prestwood Rd, Birmingham",0121 324 6576,Not Available,meal_takeaway,"Monday: 11:30 AM – 2:00 PM, 4:30 – 10:00 PM","Tuesday: 11:30 AM – 2:00 PM, 4:30 – 10:00 PM","Wednesday: 11:30 AM – 2:00 PM, 4:30 – 10:00 PM","Thursday: 11:30 AM – 2:00 PM, 4:30 – 10:00 PM","Friday: 11:30 AM – 2:00 PM, 4:00 – 10:00 PM","Saturday: 11:30 AM – 2:00 PM, 4:30 – 10:00 PM",Sunday: Closed
John’s Plaice in Harborne,"293a Northfield Rd, Birmingham",0121 426 4786,http://www.plaiceinharborne.com/,meal_delivery,Monday: 12:00 – 10:00 PM,Tuesday: 12:00 – 10:00 PM,Wednesday: 12:00 – 10:00 PM,Thursday: 12:00 – 10:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: Closed
Yummy Kitchen,"Beckbury Rd, weoley castle, Birmingham",0121 426 4344,Not Available,meal_delivery,Monday: Closed,Tuesday: 4:30 – 10:30 PM,Wednesday: 4:30 – 10:30 PM,Thursday: 4:30 – 10:30 PM,Friday: 4:30 – 11:00 PM,Saturday: 4:30 – 11:00 PM,Sunday: 4:30 – 10:30 PM
Jacks Fish and Chips Northfield,"235 Merritt's Brook Ln, Birmingham",0121 604 6887,https://jacksfishandchipsandpizzas.com/,meal_takeaway,Monday: 12:00 – 9:30 PM,Tuesday: 12:00 – 9:30 PM,Wednesday: 12:00 – 9:30 PM,Thursday: 12:00 – 9:30 PM,Friday: 12:00 – 9:30 PM,Saturday: 12:00 – 9:30 PM,Sunday: 3:00 – 8:00 PM
Sam's Chicken,"742, South, Birmingham",0121 475 0200,https://www.samschicken.co.uk/,meal_takeaway,Monday: 11:00 AM – 11:00 PM,Tuesday: 11:00 AM – 11:00 PM,Wednesday: 11:00 AM – 11:00 PM,Thursday: 11:00 AM – 11:00 PM,Friday: 11:00 AM – 11:00 PM,Saturday: 11:00 AM – 11:00 PM,Sunday: 11:00 AM – 11:00 PM
Dappa's Kitchen,"855 Bristol Rd S, Northfield, Birmingham",07388 201620,http://www.dappaskitchen.co.uk/,restaurant,Monday: 9:00 AM – 5:30 PM,Tuesday: 9:00 AM – 5:30 PM,Wednesday: 9:00 AM – 5:30 PM,Thursday: 9:00 AM – 5:30 PM,Friday: 9:00 AM – 5:30 PM,Saturday: 9:00 AM – 5:30 PM,Sunday: Closed
Chutney Lounge,"855 Bristol Rd S, Birmingham",Not Available,Not Available,meal_takeaway,Monday: 5:30 PM – 12:00 AM,Tuesday: 5:30 PM – 12:00 AM,Wednesday: 5:30 PM – 12:00 AM,Thursday: 5:30 PM – 12:00 AM,Friday: 5:30 PM – 12:00 AM,Saturday: 5:30 PM – 12:00 AM,Sunday: 12:00 – 11:30 PM
Lin's Kitchen,"10 Curdale Rd, Bartley Green, Birmingham",0121 477 0126,Not Available,meal_takeaway,Monday: Closed,Tuesday: 4:00 – 10:00 PM,Wednesday: 4:00 – 10:00 PM,Thursday: 4:00 – 10:00 PM,Friday: 4:00 – 10:00 PM,Saturday: 4:00 – 10:00 PM,Sunday: 4:00 – 10:00 PM
Kings Hill Chinese Takeaway,"133 Barnes Hill, Birmingham",0121 427 2288,https://kings-hill-chinese-takeaway.business.site/,meal_takeaway,Monday: Closed,Tuesday: 5:00 – 10:00 PM,Wednesday: 5:00 – 10:00 PM,Thursday: 5:00 – 10:00 PM,Friday: 5:00 – 10:00 PM,Saturday: 5:00 – 10:00 PM,Sunday: 5:00 – 10:00 PM
Wok Inn,"626 Bristol Rd S, Birmingham",0121 477 2900,Not Available,meal_takeaway,Monday: 5:00 – 11:00 PM,Tuesday: 5:00 – 11:00 PM,Wednesday: 5:00 – 11:00 PM,Thursday: 5:00 – 11:00 PM,Friday: 5:00 – 11:00 PM,Saturday: 5:00 – 11:00 PM,Sunday: 5:00 – 11:00 PM
Taks Fish and Chips,"805 Bristol Rd S, Northfield, Birmingham",0121 477 6556,Not Available,meal_takeaway,Monday: 11:30 AM – 10:00 PM,Tuesday: 11:30 AM – 10:00 PM,Wednesday: 11:30 AM – 10:00 PM,Thursday: 11:30 AM – 10:00 PM,Friday: 11:30 AM – 10:00 PM,Saturday: 11:30 AM – 10:00 PM,Sunday: Closed
Seavers Fish & Chips - Weoley Castle,"77 Beckbury Rd, Birmingham",0121 256 5555,http://www.seavers.co.uk/,meal_takeaway,Monday: 12:00 – 9:30 PM,Tuesday: 12:00 – 9:30 PM,Wednesday: 12:00 – 9:30 PM,Thursday: 12:00 – 9:30 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: Closed
Subway,"723A Bristol Rd S, Birmingham",0121 476 5930,https://restaurants.subway.com/united-kingdom/en/birmingham/729a-bristol-road-south-northfield?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=33986&utm_campaign=evergreen-2020&y_source=1_MTQ5MjU3NDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,meal_takeaway,Monday: 8:00 AM – 9:00 PM,Tuesday: 8:00 AM – 9:00 PM,Wednesday: 8:00 AM – 9:00 PM,Thursday: 8:00 AM – 9:00 PM,Friday: 8:00 AM – 9:00 PM,Saturday: 8:00 AM – 9:00 PM,Sunday: 10:00 AM – 8:00 PM
Sky Kitchen,"73 Taysfield Rd, Birmingham",0121 448 4141,http://www.skykitchenchinese.co.uk/,meal_takeaway,Monday: 5:00 – 9:30 PM,Tuesday: Closed,Wednesday: 5:00 – 9:30 PM,Thursday: 5:00 – 9:30 PM,Friday: 5:00 – 9:30 PM,Saturday: 5:00 – 9:30 PM,Sunday: 5:00 – 9:30 PM
LKM Pizza,"828 Bristol Rd S, Birmingham",0121 475 2222,http://ikmpizza.co.uk/,meal_takeaway,Monday: 3:00 PM – 1:00 AM,Tuesday: 3:00 PM – 1:00 AM,Wednesday: 3:00 PM – 1:00 AM,Thursday: 3:00 PM – 1:00 AM,Friday: 3:00 PM – 1:00 AM,Saturday: 3:00 PM – 1:00 AM,Sunday: 3:00 PM – 1:00 AM
Wood Lane chip shop,"95 Wood Ln, Woodgate, Birmingham",Not Available,Not Available,restaurant,Monday: 5:00 – 10:30 PM,Tuesday: 5:00 – 10:30 PM,Wednesday: 5:00 – 10:30 PM,Thursday: 5:00 – 10:30 PM,Friday: 5:00 – 10:30 PM,Saturday: 5:00 – 10:30 PM,Sunday: Closed
Dragon House,"29 Modbury Ave, Birmingham",0121 475 5574,Not Available,meal_takeaway,Monday: 4:30 – 10:30 PM,Tuesday: 4:30 – 10:30 PM,Wednesday: 4:30 – 10:30 PM,Thursday: 4:30 – 10:30 PM,Friday: 4:30 – 10:30 PM,Saturday: 4:30 – 10:30 PM,Sunday: Closed
American Slice,"828 Bristol Rd S, Birmingham",0121 792 5956,https://americanslicepizza.com/6MDq,meal_takeaway,Monday: 1:30 PM – 2:00 AM,Tuesday: 1:30 PM – 2:00 AM,Wednesday: 1:30 PM – 2:00 AM,Thursday: 1:30 PM – 2:00 AM,Friday: 12:30 PM – 2:00 AM,Saturday: 12:30 PM – 2:00 AM,Sunday: 12:30 PM – 2:00 AM
Fat Stack,"529 Harborne Park Rd, Birmingham",0121 426 2951,https://fatstack.uk/,restaurant,Monday: Closed,Tuesday: 4:00 – 11:00 PM,Wednesday: 4:00 – 11:00 PM,Thursday: 4:00 – 11:00 PM,Friday: 4:00 PM – 1:00 AM,Saturday: 4:00 PM – 1:00 AM,Sunday: 4:00 – 11:00 PM
Kippas,"32 Dettonford Rd, Birmingham",0121 477 0505,http://kippaschippy.co.uk/,meal_takeaway,Monday: 12:00 – 9:00 PM,Tuesday: 12:00 – 9:00 PM,Wednesday: 12:00 – 9:00 PM,Thursday: 12:00 – 9:00 PM,Friday: 12:00 – 9:00 PM,Saturday: 12:00 – 9:00 PM,Sunday: Closed
Cosy Coffee Co.,"800-802 Bristol Rd S, Birmingham",01562 227220,https://sidewalk.pw/cosy-coffee-co-1qsswc4.html,cafe,Monday: 7:00 AM – 5:00 PM,Tuesday: 7:00 AM – 5:00 PM,Wednesday: 7:00 AM – 5:00 PM,Thursday: 7:00 AM – 5:00 PM,Friday: 7:00 AM – 5:00 PM,Saturday: 7:00 AM – 5:00 PM,Sunday: 9:30 AM – 4:00 AM
New Peking Chinese Takeaway,"869 Bristol Rd S, Northfield, Birmingham",0121 476 8822,Not Available,meal_takeaway,Monday: Closed,Tuesday: 5:00 – 10:00 PM,Wednesday: 5:00 – 10:00 PM,Thursday: 5:00 – 10:00 PM,Friday: 5:00 – 10:00 PM,Saturday: 5:00 – 10:00 PM,Sunday: 5:00 – 10:00 PM
The Rastaurant,"Norrington Rd, Birmingham",07539 310936,http://www.wmrastaurant.com/,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: Closed,Friday: 2:30 – 9:30 PM,Saturday: 2:30 – 9:30 PM,Sunday: 2:30 – 9:30 PM
Jade House Birmingham UK,"335 Harborne Ln, Harborne, Birmingham",0121 414 1310,http://www.jadehouse335.co.uk/,meal_takeaway,Monday: 5:00 – 11:30 PM,Tuesday: Closed,Wednesday: 5:00 – 11:30 PM,Thursday: 5:00 – 11:30 PM,Friday: 5:00 – 11:30 PM,Saturday: 5:00 – 11:30 PM,Sunday: 5:00 – 11:30 PM
Wood Lane Fish Bar,"93 Wood3ddLa, Woodgate, Birmingham",0121 421 6505,https://assqe.top/wood-lane-fish-bar-w4xpo2s,meal_takeaway,Monday: 4:30 – 9:30 PM,"Tuesday: 12:00 – 2:00 PM, 4:30 – 9:30 PM","Wednesday: 12:00 – 2:00 PM, 4:30 – 9:30 PM","Thursday: 12:00 – 2:00 PM, 4:30 – 10:00 PM","Friday: 12:00 – 2:00 PM, 4:30 – 10:00 PM","Saturday: 12:00 – 2:00 PM, 4:30 – 10:00 PM",Sunday: Closed
Slice of Italy,"894 Bristol Rd S, Birmingham",0121 475 8811,https://sliceofitalybirmingham.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,meal_delivery,Monday: 3:00 PM – 1:00 AM,Tuesday: 3:00 PM – 1:00 AM,Wednesday: 3:00 PM – 1:00 AM,Thursday: 3:00 PM – 1:00 AM,Friday: 1:00 PM – 1:30 AM,Saturday: 1:00 PM – 1:30 AM,Sunday: 1:00 PM – 1:00 AM
Pasta Di Piazza,"1091 Warwick Rd, Acocks Green, Birmingham",0121 707 4883,https://www.pastadipiazza.co.uk/,restaurant,"Monday: 12:00 – 3:00 PM, 5:00 – 11:00 PM","Tuesday: 12:00 – 3:00 PM, 5:00 – 11:00 PM","Wednesday: 12:00 – 3:00 PM, 5:00 – 11:00 PM","Thursday: 12:00 – 3:00 PM, 5:00 – 11:00 PM","Friday: 12:00 – 3:00 PM, 5:00 – 11:00 PM","Saturday: 12:00 – 3:00 PM, 5:00 – 11:00 PM",Sunday: 12:00 – 10:00 PM
Porto Douro,"Porto Douro, 1160 Warwick Rd, Birmingham",0121 572 4070,https://portodourorestaurants.co.uk/,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: 10:00 AM – 10:00 PM,Thursday: 10:00 AM – 10:00 PM,Friday: 10:00 AM – 10:00 PM,Saturday: 10:00 AM – 10:00 PM,Sunday: 10:00 AM – 6:00 PM
Kurdish restaurant,"23 Formans Rd, Birmingham",0121 293 3913,Not Available,restaurant,Monday: 12:00 – 10:00 PM,Tuesday: 12:00 – 10:00 PM,Wednesday: 12:00 – 10:00 PM,Thursday: 12:00 – 10:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: Closed
Royal Steak N Karahi,"280-282 Highgate Rd, Sparkbrook, Birmingham",0121 773 8800,Not Available,meal_takeaway,Monday: 4:00 PM – 2:00 AM,Tuesday: 4:00 PM – 2:00 AM,Wednesday: 4:00 PM – 2:00 AM,Thursday: 4:00 PM – 2:00 AM,Friday: 4:00 PM – 2:00 AM,Saturday: 4:00 PM – 2:00 AM,Sunday: 4:00 PM – 2:00 AM
Cafe Raznur,"553 Coventry Rd, Birmingham",07526 754044,Not Available,restaurant,Monday: 5:30 PM – 2:00 AM,Tuesday: Closed,Wednesday: 5:30 PM – 2:00 AM,Thursday: 5:30 PM – 2:00 AM,Friday: 5:30 PM – 2:00 AM,Saturday: 5:30 PM – 2:00 AM,Sunday: 5:30 PM – 2:00 AM
Poncho Khana Restaurant and Catering | Indian Restaurant in Birmingham,"502 Coventry Rd, Small Heath, Birmingham",0121 773 0777,https://www.ponchokhana.com/,restaurant,Monday: 10:00 AM – 12:00 AM,Tuesday: 10:00 AM – 12:00 AM,Wednesday: 10:00 AM – 12:00 AM,Thursday: 10:00 AM – 12:00 AM,Friday: 10:00 AM – 11:00 PM,Saturday: 10:00 AM – 11:00 PM,Sunday: 10:00 AM – 12:00 AM
Alam,"Alam, 356 Coventry Rd, Small Heath, Birmingham",0121 242 2543,https://www.alam-restaurant.com/,restaurant,"Monday: 9:00 AM – 1:30 PM, 2:00 – 10:30 PM",Tuesday: 2:00 – 10:30 PM,"Wednesday: 9:00 AM – 1:30 PM, 2:00 – 10:30 PM","Thursday: 9:00 AM – 1:30 PM, 2:00 – 10:30 PM","Friday: 9:00 AM – 12:30 PM, 2:30 – 11:30 PM","Saturday: 9:00 AM – 1:30 PM, 2:00 – 11:30 PM","Sunday: 9:00 AM – 1:30 PM, 2:00 – 10:30 PM"
Mughal-e-Azam Restaurant & Banqueting,"Stratford Rd, Birmingham",0121 777 9348,http://www.mughaleazam.co.uk/,restaurant,Monday: 5:00 – 11:00 PM,Tuesday: 5:00 – 11:00 PM,Wednesday: 5:00 – 11:00 PM,Thursday: 5:00 – 11:00 PM,Friday: 5:00 – 11:00 PM,Saturday: 2:00 – 11:00 PM,Sunday: 2:00 – 11:00 PM
Al Faisals,"140 Stoney Ln, Sparkbrook, Birmingham",0121 449 5695,Not Available,restaurant,Monday: 12:00 – 10:30 PM,Tuesday: 12:00 – 10:30 PM,Wednesday: 12:00 – 10:30 PM,Thursday: 12:00 – 10:30 PM,Friday: 12:00 – 10:30 PM,Saturday: 12:00 – 10:30 PM,Sunday: 12:00 – 10:00 PM
